issue,quotation_bucket,championship_id,score,matches,forecasts,score_forecasts,player_weighted_share,match_weighted_share,ci95_low,ci95_high
away,100-120,6,0-1,33,1249,178,0.14251401120896717,0.16102061900911063,0.12217176718086417,0.1998694708373571
away,100-120,9,0-2,6,133,15,0.11278195488721804,0.10372451423097974,0.024003608044810124,0.18344542041714934
away,100-120,6,1-3,33,1249,152,0.12169735788630905,0.10062321123482433,0.073486676013143,0.12775974645650567
away,100-120,1,0-2,54,1457,157,0.10775566231983527,0.09609391041026313,0.07743511531211802,0.11475270550840824
away,100-120,6,2-3,33,1249,102,0.08166533226581266,0.08570783015565148,0.060948208264101314,0.11046745204720164
away,100-120,1,1-3,54,1457,110,0.07549759780370624,0.06550924630719437,0.04376142097234237,0.08725707164204638
away,100-120,6,0-3,33,1249,35,0.02802241793434748,0.02702400675976041,0.015209096150720518,0.0388389173688003
away,100-120,9,2-3,6,133,2,0.015037593984962405,0.026413690476190476,0.0,0.07233266822353489
away,100-120,1,2-3,54,1457,49,0.033630748112560054,0.026188830167592905,0.016842800944590407,0.035534859390595405
away,100-120,9,2-4,6,133,1,0.007518796992481203,0.023809523809523808,0.0,0.07047619047619047
away,100-120,9,1-3,6,133,4,0.03007518796992481,0.021372126436781613,0.0007183188407050879,0.042025934032858134
away,100-120,9,0-3,6,133,2,0.015037593984962405,0.020833333333333332,0.0,0.061666666666666675
away,100-120,1,0-3,54,1457,26,0.017844886753603295,0.012006775755926857,0.005829235105712254,0.01818431640614146
away,100-120,6,2-4,33,1249,10,0.008006405124099279,0.005153803340251866,0.00027655329218030655,0.010031053388323425
away,100-120,6,3-4,33,1249,4,0.0032025620496397116,0.0027763464605569874,0.0,0.006078853516136181
away,100-120,6,1-4,33,1249,4,0.0032025620496397116,0.002633467001283093,0.0,0.00569032189631264
away,100-120,1,2-4,54,1457,4,0.002745367192862045,0.0021798033625687807,0.0,0.00445826300527814
away,100-120,6,0-4,33,1249,4,0.0032025620496397116,0.0020649746943329,6.230986390736836e-05,0.004067639524758432
away,100-120,1,1-4,54,1457,4,0.002745367192862045,0.0016466944961265812,0.0,0.0033609851564225107
away,100-120,1,3-4,54,1457,2,0.0013726835964310226,0.0008818342151675485,0.0,0.0020924093687002213
away,100-120,1,0-4,54,1457,2,0.0013726835964310226,0.0006865709246661627,0.0,0.001634061099830935
away,100-120,6,0-5,33,1249,1,0.0008006405124099279,0.0005611672278338944,0.0,0.0016610549943883268
away,100-120,6,2-5,33,1249,1,0.0008006405124099279,0.0005509641873278236,0.0,0.001630853994490358
away,100-120,1,0-5,54,1457,1,0.0006863417982155113,0.0004873294346978557,0.0,0.0014424951267056531
away,120-150,9,1-2,9,173,82,0.47398843930635837,0.5271517302573203,0.387988088889954,0.6663153716246866
away,120-150,6,1-2,39,483,204,0.422360248447205,0.4530781896166512,0.38159807604301244,0.52455830319029
away,120-150,1,1-2,78,950,388,0.40842105263157896,0.434294783228395,0.37429875843628946,0.4942908080205005
away,120-150,1,0-1,78,950,387,0.4073684210526316,0.433889993420476,0.3742372289942487,0.4935427578467033
away,120-150,9,0-1,9,173,69,0.3988439306358382,0.37885241052942914,0.24773896372415047,0.5099658573347078
away,120-150,6,0-2,39,483,72,0.14906832298136646,0.16765599073291382,0.10508668420846648,0.23022529725736116
away,120-150,6,0-1,39,483,83,0.17184265010351968,0.157595965288273,0.10253944310430368,0.2126524874722423
away,120-150,6,1-3,39,483,47,0.09730848861283643,0.09693355077970463,0.06580337671817299,0.12806372484123626
away,120-150,6,2-3,39,483,50,0.10351966873706005,0.08138250638250638,0.04494122217360446,0.1178237905914083
away,120-150,1,0-2,78,950,84,0.08842105263157894,0.05897449411380445,0.041534915649712456,0.07641407257789644
away,120-150,9,2-3,9,173,12,0.06936416184971098,0.04737914489467284,0.012958458812445312,0.08179983097690037
away,120-150,1,1-3,78,950,51,0.05368421052631579,0.03737255029821357,0.019879519890007073,0.054865580706420065
away,120-150,9,0-2,9,173,6,0.03468208092485549,0.03498307535574616,0.0,0.07251943504164673
